muni_name,muni_center_lat,muni_center_lon,winner,winner_net,Steele_total,Tomson_total,Write-in_total,muni_total,Steele_pct,Tomson_pct,Write-in_pct
ASPINWALL,40.4928596238,-79.9037339023,Steele,667,1127,457,3,1587,71.0,28.8,0.2
BLAWNOX,40.4921946551,-79.8599445605,Steele,164,381,215,2,598,63.7,36.0,0.3
BRACKENRIDGE,40.6079783215,-79.7410282987,Tomson,5,533,541,3,1077,49.5,50.2,0.3
CHESWICK,40.5427922234,-79.8012457196,Steele,22,463,438,3,904,51.2,48.5,0.3
EAST DEER,40.5882939465,-79.7802279049,Tomson,16,256,273,1,530,48.3,51.5,0.2
FAWN,40.6498803749,-79.7672678602,Tomson,311,333,645,1,979,34.0,65.9,0.1
FOX CHAPEL,40.5247142282,-79.8897933243,Steele,616,2045,1426,3,3474,58.9,41.0,0.1
FRAZER,40.6064982622,-79.796427941,Tomson,137,190,329,2,521,36.5,63.1,0.4
HARMAR,40.5470151587,-79.8386437203,Tomson,45,717,764,2,1483,48.3,51.5,0.1
HARRISON,40.6375053295,-79.7172260601,Tomson,201,2042,2255,12,4309,47.4,52.3,0.3
INDIANA,40.572992561,-79.8736973467,Steele,143,1903,1756,4,3663,52.0,47.9,0.1
O'HARA,40.5092024135,-79.8949503818,Steele,1545,3439,1880,14,5333,64.5,35.3,0.3
SHARPSBURG,40.4940131921,-79.9248963648,Steele,365,777,409,3,1189,65.3,34.4,0.3
SPRINGDALE BR,40.5408709929,-79.7819010843,Steele,31,724,691,2,1417,51.1,48.8,0.1
SPRINGDALE TP,40.5543554285,-79.7873199535,Tomson,47,381,429,1,811,47.0,52.9,0.1
TARENTUM,40.6042584751,-79.7601386666,Steele,13,634,612,9,1255,50.5,48.8,0.7